tag_id,subloc_sequence,loc_code,detection_counts,dwell_times
989.001038856496,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[5, 3, 3, 3, 3]","[0.31, 0.0, 0.0, 133.76, 878.16]"
989.001038856508,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[7, 6, 6, 2, 2]","[18.53, 0.0, 0.0, 0.0, 0.0]"
989.001038856521,"[1.0, 0.0, nan, 0.0, nan, 0.0]","['202', '201', '232', '231', '232', '231']","[3, 3, 3, 7, 4, 3]","[0.0, 0.0, 106.45, 1324.25, 17067.8, 466.39]"
989.001038856533,[1.0],['22'],[5],[0.54]
989.001038856659,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[2, 4, 3, 1]","[0.0, 31450.75, 196.36, 0.0]"
989.00103885666,"[1.0, 1.0, 0.0]","['21', '202', '201']","[4, 200, 8]","[0.0, 720895.53, 0.0]"
989.001038856675,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[16, 72, 8, 2, 4]","[1915.66, 166197.27, 0.0, 0.0, 65.31]"
989.001038856725,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[7, 4, 4, 2, 2]","[16.15, 0.0, 0.0, 0.0, 0.0]"
989.001038856737,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[16, 16, 8, 2, 4]","[341.78, 1748.38, 0.0, 0.0, 108.72]"
989.00103885677,"[1.0, 0.0, nan, 0.0]","['21', '201', '232', '231']","[2, 3, 4, 4]","[0.0, 0.0, 0.0, 0.0]"
989.001038856783,"[1.0, 0.0]","['202', '201']","[1, 1]","[0.0, 0.0]"
989.001038856849,"[1.0, 1.0, nan, 0.0]","['22', '202', '232', '231']","[80, 98, 2, 34]","[81803.96, 723897.8, 0.0, 4122.89]"
989.001038856884,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[84, 4, 2, 2]","[1937409.38, 0.0, 0.0, 0.0]"
989.001038856925,"[1.0, 1.0]","['21', '202']","[15, 224]","[7030.98, 448515.35]"
989.00103885707,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[3, 3, 1, 2]","[0.0, 0.0, 0.0, 226.35]"
989.001038857101,"[1.0, 0.0]","['202', '201']","[80, 12]","[2179403.46, 2.99]"
989.001038857102,"[1.0, 0.0]","['202', '201']","[2, 2]","[0.0, 0.0]"
989.001038857138,[1.0],['202'],[2],[0.0]
989.001038857141,[1.0],['202'],[2],[0.0]
989.001038857154,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[7, 3, 3, 2, 2]","[16.17, 0.0, 0.0, 0.0, 0.0]"
989.001038857159,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[1, 4, 4, 4, 4]","[0.0, 0.0, 0.0, 0.0, 0.0]"
989.001038857165,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[2, 36, 6, 1, 1]","[0.0, 74088.2, 0.0, 0.0, 0.0]"
989.001038857184,"[1.0, 1.0, nan, 0.0]","['21', '202', '232', '231']","[2, 4, 2, 2]","[0.0, 0.0, 0.0, 0.0]"
989.001038857185,"[1.0, 1.0]","['202', '233']","[2, 1]","[0.0, 0.0]"
989.001038857205,[1.0],['21'],[2],[5771.91]
989.001038857224,"[1.0, 0.0, nan, 0.0]","['21', '201', '232', '231']","[3, 4, 2, 6]","[0.0, 0.0, 0.0, 219.65]"
989.001038857238,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[2, 2, 2, 2]","[0.0, 0.0, 0.0, 0.0]"
989.001038857288,"[0.0, 1.0, 1.0, 0.0, 1.0]","['201', '202', '202', '201', '233']","[2, 2, 2, 2, 1]","[0.0, 0.0, 0.0, 0.0, 0.0]"
989.001038857318,"[1.0, 1.0, 0.0]","['21', '202', '201']","[1, 4, 4]","[0.0, 0.0, 0.0]"
989.001038857322,"[1.0, 1.0, nan, 0.0]","['21', '202', '232', '231']","[1, 4, 2, 2]","[0.0, 0.0, 0.0, 0.0]"
989.001038857336,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[2, 1, 4, 2]","[0.82, 0.0, 336.54, 148.38]"
989.001038857341,"[0.0, 1.0]","['201', '233']","[1, 2]","[0.0, 0.0]"
989.001038857346,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[1, 1, 2, 2]","[0.0, 0.0, 84.76, 240.95]"
989.001038857347,"[0.0, nan, 0.0]","['201', '232', '231']","[3, 2, 6]","[0.0, 0.0, 592.28]"
989.001038857348,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[5, 1, 1, 7, 1]","[23.62, 0.0, 0.0, 350.56, 0.0]"
989.001038857359,"[1.0, 0.0, nan, 0.0, nan, 0.0, nan, 0.0]","['202', '201', '232', '231', '232', '231', '232', '231']","[3, 3, 14, 1, 13, 1, 1, 14]","[0.0, 0.0, 768.07, 0.0, 17842.43, 0.0, 0.0, 1058.02]"
989.00103885736,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[3, 12, 4, 2, 4]","[0.0, 2267.72, 0.0, 0.0, 505.97]"
989.001038857377,"[1.0, 0.0, nan, 0.0]","['21', '201', '232', '231']","[2, 3, 3, 2]","[0.0, 0.0, 80.72, 59.06]"
989.001038857416,[1.0],['233'],[1],[0.0]
989.001038857447,[1.0],['202'],[2],[5.54]
989.00103885747,[1.0],['202'],[12],[692.08]
989.001038857477,"[1.0, 0.0]","['202', '201']","[1, 2]","[0.0, 2.77]"
989.001038857519,"[1.0, 0.0]","['202', '201']","[1, 1]","[0.0, 0.0]"
989.001038857532,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[4, 160, 8, 1, 12]","[0.0, 784220.91, 0.0, 0.0, 740.58]"
989.00103885754,"[0.0, nan, 0.0]","['201', '232', '231']","[2, 3, 2]","[0.0, 536.71, 0.12]"
989.001038857543,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[3, 40, 8, 4, 2]","[0.0, 14774.5, 0.0, 281.66, 0.0]"
989.00103885757,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[8, 16, 8, 1, 2]","[31.69, 86.96, 0.0, 0.0, 8.52]"
989.001038857575,"[1.0, nan, 0.0]","['202', '232', '231']","[6, 1, 1]","[170.04, 0.0, 0.0]"
989.001038857583,[1.0],['21'],[3],[0.0]
989.001038857607,[0.0],['201'],[4],[3634.19]
989.001038857611,"[1.0, 1.0, 0.0]","['21', '202', '201']","[2, 5, 5]","[0.0, 0.0, 0.0]"
989.001038857613,"[1.0, 1.0, 0.0]","['22', '202', '201']","[5, 2, 2]","[6.28, 0.0, 0.0]"
989.001038857684,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[3, 3, 4, 2]","[0.0, 0.0, 99.62, 0.0]"
989.001038857712,"[1.0, 1.0, 0.0]","['21', '202', '201']","[4, 80, 8]","[0.0, 300128.64, 0.0]"
989.001038857777,"[1.0, 0.0]","['202', '201']","[2, 2]","[0.0, 0.0]"
989.001038857802,"[1.0, 0.0, 1.0]","['202', '201', '233']","[2, 2, 1]","[0.0, 0.0, 0.0]"
989.001038857853,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[6, 10, 5, 4, 2]","[10.11, 17907.92, 0.0, 343.47, 0.0]"
989.001038857887,"[1.0, 0.0]","['202', '201']","[2, 2]","[0.0, 0.0]"
989.001038857891,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[4, 40, 8, 4, 2]","[0.0, 260538.13, 0.0, 169.66, 0.0]"
989.001038857911,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[2, 3, 3, 2, 2]","[25.48, 0.0, 0.0, 0.0, 0.0]"
989.001038857951,"[1.0, nan, 0.0]","['21', '232', '231']","[3, 1, 1]","[0.0, 0.0, 0.0]"
989.001038857953,[1.0],['21'],[3],[0.0]
989.001038857961,"[0.0, 1.0]","['201', '202']","[1, 1]","[0.0, 0.0]"
989.001038857973,"[1.0, 0.0]","['22', '201']","[30, 3]","[2266.48, 0.0]"
989.001038857985,"[1.0, 0.0]","['202', '201']","[1, 1]","[0.0, 0.0]"
989.001038858003,"[1.0, 1.0, nan, 0.0]","['22', '202', '232', '231']","[7, 6, 2, 2]","[16.17, 0.0, 0.0, 0.0]"
989.001038858025,"[1.0, 1.0, 0.0, nan, 0.0, nan, 0.0]","['21', '202', '201', '232', '231', '232', '231']","[4, 32, 8, 2, 4, 4, 2]","[0.0, 9648.35, 0.0, 0.0, 107.3, 490.21, 0.0]"
989.001038858064,"[1.0, 1.0]","['21', '202']","[1, 6]","[0.0, 2876.28]"
989.001038858066,"[0.0, 1.0]","['201', '202']","[3, 4]","[0.0, 639.93]"
989.00103885807,"[1.0, 1.0, nan, 0.0]","['21', '202', '232', '231']","[3, 16, 2, 2]","[0.0, 3562.5, 0.0, 0.0]"
989.001038858091,"[1.0, 0.0]","['21', '201']","[1, 4]","[0.0, 0.0]"
989.001038858106,[1.0],['202'],[4],[9220.26]
989.001038858168,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[4, 4, 2, 2]","[0.0, 0.0, 0.0, 0.0]"
989.001038858246,"[1.0, 1.0, 0.0]","['21', '202', '201']","[9, 8, 8]","[84787.78, 0.0, 0.0]"
989.001038858258,"[1.0, nan, 0.0]","['21', '232', '231']","[8, 4, 2]","[281122.01, 39.7, 0.0]"
989.001038858292,[1.0],['202'],[1],[0.0]
989.001038858301,"[1.0, 1.0, 0.0, nan, 0.0]","['22', '202', '201', '232', '231']","[21, 4, 4, 2, 2]","[5689.22, 0.0, 0.0, 0.0, 0.0]"
989.001038858322,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[2, 5, 5, 2, 2]","[0.0, 0.0, 0.0, 0.0, 0.0]"
989.001038858345,[1.0],['22'],[5],[1.35]
989.001038858354,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[3, 3, 2, 2]","[0.0, 0.0, 0.0, 0.0]"
989.001038858376,"[1.0, 1.0, 0.0]","['21', '202', '201']","[3, 24, 4]","[0.0, 9463.83, 0.0]"
989.001038858402,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[2, 2, 2, 1]","[0.0, 0.0, 0.25, 0.0]"
989.001038858406,"[1.0, 1.0, 0.0, nan, 0.0]","['21', '202', '201', '232', '231']","[1, 3, 3, 2, 2]","[0.0, 0.0, 0.0, 0.0, 0.0]"
989.001038858461,"[1.0, 0.0, nan, 0.0]","['22', '201', '232', '231']","[8, 8, 2, 2]","[31.76, 0.0, 0.0, 0.0]"
989.001038858482,"[1.0, 1.0, 0.0]","['21', '202', '201']","[3, 6, 12]","[0.0, 0.0, 1585.46]"
989.001038858491,"[1.0, 1.0, nan, 0.0]","['22', '202', '232', '231']","[8, 40, 2, 2]","[33.02, 32136.81, 0.0, 0.0]"
989.001038858495,"[1.0, 1.0]","['21', '202']","[1, 6]","[0.0, 3413.22]"
989.001038858519,"[1.0, 0.0, nan, 0.0]","['22', '201', '232', '231']","[6, 4, 2, 2]","[10.8, 0.0, 0.0, 0.0]"
989.00103885852,"[1.0, 0.0, nan, 0.0]","['202', '201', '232', '231']","[3, 3, 2, 2]","[0.0, 0.0, 0.0, 0.0]"
