tag_id_long,species,source,tag_date,updated_stock
989.001034164808,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034164826,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034165311,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034165357,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034165767,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034165776,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034165837,steelhead,hatch_tag,2021-01-20,robertson creek
989.001034166369,coho,river,2022-05-06,Englishman
989.001034166376,chinook,microtroll,2020-11-02,Little Qualicum
989.001034166386,coho,river,2022-05-06,Englishman
989.001034166391,coho,river,2022-05-06,Englishman
989.001034166402,coho,river,2022-05-06,Englishman
989.001034166420,steelhead,river,2022-05-06,Englishman
989.001034166426,coho,river,2022-05-06,Englishman
989.001034166432,coho,river,2022-05-06,Englishman
989.001034166443,coho,river,2022-05-06,Englishman
989.001034166445,coho,river,2022-05-06,Englishman
989.001034166451,coho,river,2022-05-06,Englishman
989.001034166452,coho,river,2022-05-06,Englishman
989.001034166459,coho,river,2022-05-06,Englishman
989.001034166469,coho,river,2023-04-30,Englishman
989.001034166472,cutthroat trout,river,2023-04-30,Englishman
989.001034166476,chinook,microtroll,2021-11-18,Cowichan
989.001034166485,cutthroat trout,river,2023-04-30,Englishman
989.001034166486,coho,river,2023-04-30,Englishman
989.001034166489,steelhead,river,2023-04-30,Englishman
989.001034166491,rainbow trout,river,2023-04-30,Englishman
989.001034166493,rainbow trout,river,2023-04-30,Englishman
989.001034166496,steelhead,river,2023-04-30,Englishman
989.001034166499,chinook,microtroll,2021-11-18,Cowichan
989.001034166501,rainbow trout,river,2023-04-30,Englishman
989.001034166505,steelhead,river,2023-04-30,Englishman
989.001034166509,rainbow trout,river,2023-04-30,Englishman
989.001034166510,rainbow trout,river,2023-04-30,Englishman
989.001034166511,cutthroat trout,river,2023-04-30,Englishman
989.001034166514,chinook,microtroll,2021-11-18,Cowichan
989.001034166515,coho,river,2023-04-30,Englishman
989.001034166523,coho,river,2023-04-30,Englishman
989.001034166524,rainbow trout,river,2023-04-30,Englishman
989.001034166525,chinook,microtroll,2022-03-10,Nanaimo summer
989.001034166531,cutthroat trout,river,2023-04-30,Englishman
989.001034166547,rainbow trout,river,2023-04-30,Englishman
989.001034166548,chinook,microtroll,2021-11-16,Nanaimo fall
989.001034166549,rainbow trout,river,2023-04-30,Englishman
989.001034166550,cutthroat trout,river,2023-04-30,Englishman
989.001034166551,rainbow trout,river,2023-04-30,Englishman
989.001034166555,coho,river,2023-04-30,Englishman
989.001034166561,chinook,microtroll,2021-11-18,Cowichan
989.001034166648,chinook,microtroll,2021-12-09,Puntledge fall
989.001034166671,chinook,microtroll,2020-12-04,Cowichan
989.001034166714,chinook,microtroll,2022-01-27,Cowichan
989.001034166802,chinook,microtroll,2021-01-18,Cowichan
989.001034166805,chinook,microtroll,2020-12-02,Cowichan
989.001034166806,chinook,microtroll,2020-11-26,Cowichan
989.001034166854,chinook,microtroll,2020-12-16,Cowichan
989.001034166865,chinook,microtroll,2021-10-07,Cowichan
989.001034166879,chinook,microtroll,2021-10-07,Cowichan
989.001034166921,chinook,microtroll,2021-10-08,Cowichan
989.001034166926,chinook,microtroll,2021-10-07,Cowichan
989.001034166934,chinook,microtroll,2021-10-07,Cowichan
989.001034166955,chinook,microtroll,2021-10-07,Cowichan
989.001034166973,chinook,microtroll,2020-12-01,Nanaimo fall
989.001034167044,chinook,microtroll,2020-12-02,Cowichan
989.001034167084,chinook,microtroll,2021-10-08,Cowichan
989.001034167085,chinook,microtroll,2021-10-18,Cowichan
989.001034167101,chinook,microtroll,2021-10-18,Cowichan
989.001034167111,chinook,microtroll,2021-10-13,Cowichan
989.001034167125,chinook,microtroll,2021-10-08,Cowichan
989.001034167146,chinook,microtroll,2021-10-18,Cowichan
989.001034167148,chinook,microtroll,2021-10-19,Puntledge fall
989.001034167176,coho,microtroll,2022-11-16,
989.001034167205,chinook,microtroll,2022-03-22,Cowichan
989.001034167463,rainbow trout,river,2023-05-05,Englishman
989.001034167466,coho,river,2023-05-05,Englishman
989.001034167467,cutthroat trout,river,2023-05-05,Englishman
989.001034167475,steelhead,river,2023-05-05,Englishman
989.001034167479,coho,river,2023-05-05,Englishman
989.001034167480,cutthroat trout,river,2023-05-05,Englishman
989.001034167482,steelhead,river,2023-05-05,Englishman
989.001034167483,steelhead,river,2023-05-05,Englishman
989.001034167488,coho,river,2023-05-05,Englishman
989.001034167493,coho,river,2023-05-05,Englishman
989.001034167504,steelhead,river,2023-05-05,Englishman
989.001034167506,cutthroat trout,river,2023-05-05,Englishman
989.001034167507,steelhead,river,2023-05-05,Englishman
989.001034167513,cutthroat trout,river,2023-05-05,Englishman
989.001034167517,coho,river,2023-05-05,Englishman
989.001034167520,steelhead,river,2023-05-05,Englishman
989.001034167524,coho,river,2023-05-05,Englishman
989.001034167527,cutthroat trout,river,2023-05-05,Englishman
989.001034167537,cutthroat trout,river,2023-05-05,Englishman
989.001034167538,coho,river,2023-05-05,Englishman
989.001034167539,coho,river,2023-05-05,Englishman
989.001034167545,cutthroat trout,river,2023-05-05,Englishman
989.001034167547,cutthroat trout,river,2023-05-05,Englishman
989.001034167558,coho,river,2023-05-05,Englishman
989.001034167560,cutthroat trout,river,2023-05-05,Englishman
989.001034167561,coho,river,2023-05-05,Englishman
989.001034167621,chinook,microtroll,2021-12-16,Cowichan
989.001034167647,chinook,microtroll,2021-11-02,Nanaimo fall
989.001034167649,chinook,microtroll,2021-12-16,Cowichan
989.001034167875,chinook,microtroll,2021-01-08,Big Qualicum
989.001034167923,chinook,microtroll,2020-12-14,Cowichan
989.001034167930,chinook,microtroll,2020-12-02,Cowichan
989.001034167940,chinook,microtroll,2020-12-02,Big Qualicum
989.001034167943,chinook,microtroll,2020-12-12,Nanaimo fall
989.001034167944,chinook,microtroll,2020-12-02,Cowichan
989.001034167958,chinook,microtroll,2020-12-02,Big Qualicum
989.001034168013,chinook,microtroll,2021-12-04,Puntledge fall
989.001034168135,chinook,microtroll,2021-02-27,Nanaimo fall
989.001034168144,chinook,microtroll,2021-02-03,Cowichan
989.001034168159,chinook,microtroll,2021-01-17,Little Qualicum
989.001034168239,coho,microtroll,2020-10-31,Quinsam
989.001034168378,chinook,microtroll,2021-01-14,Cowichan
989.001034168414,chinook,microtroll,2020-12-09,Cowichan
989.001034168421,chinook,microtroll,2021-01-18,Nanaimo fall
989.001034168434,chinook,microtroll,2021-01-18,Cowichan
989.001034168447,chinook,microtroll,2021-01-28,Big Qualicum
989.001034168458,chinook,microtroll,2020-09-01,Cowichan
989.001034168461,chinook,microtroll,2020-09-01,Cowichan
989.001034168470,coho,microtroll,2020-10-01,
989.001034168571,chinook,avid_angler,2021-06-23,
989.001034168619,chinook,microtroll,2021-04-02,Cowichan
989.001034168638,chinook,microtroll,2021-04-02,Puntledge fall
989.001034168656,chinook,microtroll,2021-04-11,Puntledge fall
989.001034168791,chinook,microtroll,2022-02-05,Puntledge fall
989.001034168814,chinook,microtroll,2022-01-28,Puntledge fall
989.001034168871,chinook,microtroll,2023-03-10,Cowichan
989.001034168901,chinook,microtroll,2020-10-03,Nanaimo summer
989.001034168942,chinook,microtroll,2022-01-21,Puntledge fall
989.001034168961,chinook,microtroll,2022-01-24,CHEAKAMUS_RIVER
989.001034168968,chinook,microtroll,2020-10-03,Puntledge summer
989.001034169010,chinook,microtroll,2020-10-14,Puntledge fall
989.001034169121,chinook,microtroll,2021-03-17,Puntledge fall
989.001034169151,chinook,microtroll,2021-04-19,Big Qualicum
989.001034169156,chinook,microtroll,2021-03-06,Puntledge fall
989.001034169166,chinook,microtroll,2021-04-10,Big Qualicum
989.001034169170,chinook,avid_angler,2021-07-03,
989.001034169184,chinook,avid_angler,2021-07-07,
989.001034169190,chinook,avid_angler,2021-07-07,
