tag_id,count,in_cleaning_table
982.000365184330,344,no
989.001026888122,340,no
989.001045731050,339,no
989.001030605620,336,yes
989.001045735375,332,no
989.001045841179,331,no
989.002027658765,330,no
989.001042811477,328,no
989.001045731033,327,no
989.001045832866,325,no
989.001041749682,321,no
989.001038861850,319,no
989.001045734336,318,no
989.002028406883,318,no
989.001041730343,316,no
989.001038905047,316,no
989.001045837804,316,no
989.001045732503,314,no
989.001042812767,314,no
989.001045844203,313,no
989.001041641501,308,no
989.001039387152,307,no
989.001038744154,304,no
989.001038863446,303,no
989.002027656037,301,no
989.001041728242,300,no
989.001039382255,299,no
989.001038748028,297,no
989.001041748064,297,no
989.001034166549,295,no
989.002028406378,293,no
989.001042810683,292,no
989.001040512591,292,no
989.001040511539,292,no
989.001040930511,290,no
989.002027653288,290,no
989.002027656699,290,no
989.001040930023,289,no
989.001038867079,289,no
989.002027699020,287,no
989.001040514541,287,no
989.001040514631,287,no
989.001041731305,286,no
989.001041731405,286,no
989.001041731383,285,no
989.002028429386,285,no
989.001039604123,284,no
989.001039401770,283,no
989.001045733247,282,no
989.001041641416,279,no
989.001038860973,274,no
989.001045735114,271,no
989.001045734837,269,no
989.001040514351,264,no
989.001031570908,263,no
989.001040930503,263,no
989.002027657903,263,no
989.001045733336,258,no
989.002027656535,258,no
989.001040512168,257,no
989.001030294402,257,no
989.001045842957,252,no
989.001040510719,252,no
989.001039383701,251,no
989.001040515713,249,no
982.000411528332,249,no
989.001038860315,247,no
989.001030293094,247,no
989.002028416058,247,no
989.001041744142,247,no
989.001041731449,247,no
989.002027660683,246,no
989.001040512628,246,no
989.001040932681,246,no
989.001040933085,245,no
989.001040930485,245,no
989.001040514384,244,no
989.001045660781,243,no
989.002027658080,242,no
989.001038748102,242,no
989.001033390901,241,no
989.001040512902,239,no
989.002027660482,238,no
989.001040934171,238,no
989.001045719104,237,no
989.001041729825,237,no
989.001045833299,236,no
989.001045833555,234,no
989.001041731947,234,no
989.001045731441,233,no
989.001040512719,232,no
989.001045832255,230,no
989.001041641434,230,no
989.001006606265,229,no
989.002028412267,229,no
989.001045732041,228,no
989.001045732013,228,no
989.001045734535,226,no
982.000411528276,226,no
989.002027660241,226,no
989.001041724456,225,no
989.001040515649,225,no
989.002027684323,224,no
989.001040930497,223,no
989.002027652753,222,no
989.001045735092,221,no
989.002027656516,220,no
989.002027655695,219,no
989.001040930428,219,no
989.001040933172,218,no
989.001041743926,218,no
989.001045731559,217,no
989.001040930446,215,no
989.002028405138,214,no
989.001041731714,214,no
989.001039603222,211,no
989.001041724891,210,no
989.001042004618,210,no
982.000411528259,210,no
989.002028407363,209,no
989.001038868203,209,no
989.001045838867,209,no
989.002027659024,208,no
989.001038859437,208,no
989.001045157641,207,no
989.001040513544,204,no
989.001041729942,204,no
989.002028408967,203,no
989.001041729965,202,no
989.001038748004,202,no
989.002028404849,202,no
989.002027658704,201,no
989.001041744156,201,no
989.001038862552,201,no
989.001040510988,201,no
989.001039736791,200,no
989.001045730899,200,no
989.001045731505,200,no
989.001040930482,200,no
989.001045733326,199,no
989.002028406346,199,no
989.001040511269,198,no
989.001041749900,198,no
989.001042811173,197,no
989.001040930504,197,no
989.001034164808,197,no
989.001040513264,197,no
989.002027681607,196,no
989.001033396404,196,no
989.001040930502,196,no
989.001040931859,196,no
989.001042812712,195,no
989.001041749411,195,no
989.001041721892,194,no
989.001041641506,194,no
989.001038869060,194,no
989.001006676586,194,no
989.002027656663,193,no
989.001006674722,193,no
989.001042812753,192,no
989.001040930394,192,no
989.001041742631,192,no
989.001040930544,192,no
989.001045830364,191,no
989.001040512690,191,no
989.001039607019,190,no
989.001041727947,190,no
989.001040930461,189,no
989.001042743257,189,no
989.001040514658,189,no
989.001045838641,188,no
989.001041749185,188,no
989.001039406823,188,no
989.001045734877,187,no
989.001038902382,187,no
989.001039605484,186,no
989.001040512922,186,no
989.001041746626,185,no
989.001040930377,184,no
989.001034040818,183,no
989.002028418550,183,no
989.001040515602,183,no
989.002027656058,182,no
989.001038868150,182,no
989.001038866759,181,no
989.001045731612,181,no
989.001040513385,181,no
989.002027705620,181,no
989.001041741654,181,no
989.001038874332,181,no
989.001045830725,179,no
989.001038852711,179,no
989.001045155351,179,no
989.001034169151,179,no
989.001045732401,179,no
989.001038851179,178,no
989.002027659674,178,no
989.001040930400,178,no
989.001041641482,177,no
989.001041744102,176,no
989.001040931233,176,no
989.001045838854,175,no
989.001040513601,174,no
