tag_id,subloc_sequence,detection_counts,dwell_times,similarity_score,similarity(in_days)
989.001041757515,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 1.0, 0.01, 1.0, 0.01]","[6, 6, 3, 6, 3, 3, 9, 6, 6, 9, 3]","[61.75, 443.87, 0.01, 1050.98, 0.01, 0.01, 265.31, 462.25, 1003.36, 49426.98, 0.01]",5612.86930555556,0.0649637651105967
989.001039395559,"[1.0, 0.01, 1.0, 1.0, 0.01, 1.0]","[7, 6, 18, 48, 6, 12]","[0.01, 0.01, 64168.73, 75857.55, 0.01, 5490.78]",5602.86153134921,0.0648479343906158
989.001041757251,"[1.0, 0.01, 1.0, 0.01, 1.0]","[4, 12, 8, 8, 8]","[0.01, 2561.24, 1115.07, 140.52, 43371.6]",5563.14626666667,0.0643882669753086
989.001038736503,"[1.0, 1.0, 0.01]","[3, 24, 8]","[0.01, 133350.63, 0.01]",5556.27959583333,0.0643087916184413
989.001040934018,"[1.0, 0.01, 1.0]","[12, 10, 6]","[36124.12, 55951.25, 14814.21]",5535.32958333333,0.0640663146219136
989.001042001172,"[1.0, 0.01]","[140, 4]","[773076.01, 0.01]",5521.971525,0.0639117074652778
989.001041757693,"[0.01, 1.0, 0.01, 1.0, 0.01]","[12, 4, 12, 8, 4]","[2589.51, 0.01, 4078.26, 44060.32, 0.01]",5513.099,0.0638090162037037
989.001042005119,[1.0],[28],[154280.47],5510.01678571429,0.0637733424272487
989.001038864574,"[0.01, 1.0, 0.01]","[54, 30, 102]","[1607.99, 165177.96, 5967.01]",5506.81477690632,0.0637362821401194
989.001041750093,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[4, 24, 8, 4, 4, 4]","[0.01, 38387.93, 43370.04, 0.01, 0.01, 0.01]",5437.25502083333,0.0629311923707562
989.001042359876,"[1.0, 1.0, 0.01, 1.0]","[3, 4, 2, 1]","[0.01, 21530.41, 0.01, 0.01]",5382.61588333333,0.0622987949459876
989.001039712531,"[1.0, 0.01, 0.01, 0.01, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 0.01, 0.01, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 1.0]","[7, 14, 14, 7, 14, 7, 28, 7, 7, 19, 18, 24, 6, 6, 12, 12, 12, 18, 12, 18, 12, 12, 6, 12, 12, 12, 12, 12, 6, 6, 12, 12]","[0.01, 13526.63, 1252.84, 0.01, 315.47, 0.01, 44773.93, 0.01, 0.01, 26940.19, 45318.51, 1874.5, 0.01, 0.01, 3969.45, 710.61, 299.97, 3273.92, 351.77, 709.2, 352.34, 734.3, 0.01, 306.04, 39768.16, 928.9, 416.99, 17157.55, 0.01, 0.01, 319.02, 2349.34]",5380.67336819131,0.0622763121318439
989.001042048124,"[0.01, 1.0, 1.0, 0.01]","[1, 3, 20, 3]","[0.01, 15779.7, 1645.58, 1200.0]",5346.1791,0.0618770729166667
989.00103885942,"[0.01, 1.0, 0.01]","[1, 1, 12]","[0.01, 0.01, 6282926.65]",5235.78230833333,0.0605993322723766
989.001038885366,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[110, 5, 85, 20, 10, 10]","[478753.59, 0.01, 70940.58, 112.65, 21.71, 92.26]",5189.22002745989,0.0600604169844895
989.001041759826,"[1.0, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[32, 8, 8, 7, 28, 7, 14, 14, 7]","[159423.89, 0.01, 0.01, 0.01, 209208.21, 0.01, 499.04, 1556.29, 0.01]",5168.23794285714,0.0598175687830688
989.001038850128,"[1.0, 1.0]","[50, 10]","[2552.07, 51145.9]",5165.6314,0.059787400462963
989.00104174075,"[0.01, 1.0, 1.0, 0.01, 1.0]","[3, 3, 9, 9, 6]","[0.01, 0.01, 18187.79, 9900.8, 18787.97]",5163.19814444444,0.0597592377829218
989.001038748048,"[1.0, 0.01, 1.0, 1.0, 0.01]","[1, 4, 8, 4, 4]","[0.01, 0.01, 41188.51, 0.01, 0.01]",5148.5763,0.0595900034722222
989.001039378704,"[1.0, 1.0, 0.01, 1.0, 0.01, 1.0, 0.01, 1.0]","[3, 2, 2, 4, 4, 2, 2, 1]","[0.01, 0.01, 0.01, 18355.73, 223547.32, 0.01, 0.01, 0.01]",5147.82423333333,0.0595812989969136
989.001039402688,"[0.01, 1.0, 0.01, 1.0, 0.01]","[9, 21, 14, 14, 32]","[0.01, 125.33, 13231.32, 70521.42, 260420.55]",5134.04475679564,0.0594218143147643
989.001038726151,"[1.0, 0.01]","[37, 4]","[189854.09, 0.01]",5131.19164662162,0.0593887922062688
