tag_id,loc_code,start_date,end_date,dwell_time,number_of_detections
989.001038849300,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038852480,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038849986,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038853600,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038849547,6D,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038723576,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038724616,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726411,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725513,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038723583,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725130,3B,2021-05-04,2021-05-04,0 days 00:03:33.810000,5
989.001038724065,3B,2021-05-04,2021-05-04,0 days 00:00:00.680000,2
989.001038724982,3B,2021-05-04,2021-05-05,0 days 19:02:32.220000,5
989.001038724641,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725136,3B,2021-05-04,2021-05-04,0 days 00:00:13.910000,2
989.001038728477,3B,2021-05-04,2021-05-04,0 days 00:00:00.040000,2
989.001038724065,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725130,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725136,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038723743,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038728372,3B,2021-05-04,2021-05-04,0 days 00:00:02.720000,2
989.001038728372,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038726125,3B,2021-05-04,2021-05-04,0 days 00:00:02.970000,2
989.001038726125,3A,2021-05-04,2021-05-04,0 days 00:00:00,1
989.001038725038,3B,2021-05-05,2021-05-05,0 days 00:00:00.210000,2
989.001038725038,3A,2021-05-05,2021-05-05,0 days 00:00:00,1
989.001038724143,3B,2021-05-05,2021-05-05,0 days 00:00:51.080000,3
